a|to, towards, at
ripsa|erect, on end, shaggy; to stand on end, to ruffle
ripud; —i|repudiation; to-iate
ripugni; —a; —o|to feel repugnance; —ant; —ance
ripulsi; —o|to repel, to repulse; —ulsion
ripunt; —i|match-mark, landmark; to locate
ripunt; —i|reference, landmark; to
ripyeso|spare part
rir|behind
rira|behind
rirced; —i|retrocession; to —cede, to yield back
rirdus|from far; after some time; in distant perspective
rire|behind
rirgumon|back-tyre
riri|to move back
ririgo; —i|reversing gear; to move back, to go into reverse
rirkofro|back-case
rirot|spare wheel
rirpenso; —i|hidden motive (thought); to have a —
rirplan; —e|background; in the —
rirsizo|late season
rirspekto; —a|retrospect; —ive
rirter|hinterland
rirvidil|driving-mirror
riseka|shrunk, curled up
risendi; —o|to return, to send back; —ing
rish; —al|net; network; rack
riske|venturously
risko; —i|risk; to —
riskoni|to imperil, to endanger, to dare
riskoso; —i|rescue; to —
rislo; —i; —er|receiving, fencing; to recieve; —er (of stolen property)
risolva; —o|resolute; —ness, —ution; determined; —ination
risolvon; —a|unconstraint, pertness; off-hand, pert
rison; —i|resonance; to resound
risor|stepsister
risorgo|resource
rispe|in reply to
rispek; —i|reflection; to throw back, to reflect
rispo; —i|answer; to —
risqoti; —o|to encash; —ment; to collect; —ing
ristorno; —i|refund; to —
ristringi; —o|to restrict; —ion
rit; —a|rite; ritual
ritablo|retable, altar-piece
ritardo; —i; —a; —e|delay; to —; —ed, late
riten; —i|retention; to retain;
ritir; —i|retreat; to —
ritmo; —a|rhythm; —ic(al)
ritordi; —o|to twist; —ing
ritorno; —i|return; to —
ritornomac|return match
ritra; —o; —e|back
ritradaro|home, retreat, home for the aged
ritrado; —i|retreat, to —
ritradokaso|superannuation fund
ritrakti; —o|to retract; —ation
ritral; —a|backwardness; backward (child)
ritrarot|backwheel
ritrax; —i|contraction, (m
ritri|to draw back
ritrol; —i|withdrawal; to withdraw
ritroza; —o|restive, stubborn; —ness
riun; —i|reunion, meeting; to join, to unite, to convene
rius; —o; —i|success; to accomplish, to have success, to succeed
riusel|(at cards) patience
riv; —a; —an|shore
rival; —eso; —i|rival; —ry; to —, to compete
rivarmi; —at|to warm up; —ed up again
rivel; —i|revelation; to reveal
rivendik; —i|claim; to —
riverbi; —o|to reverberate; —ation
riverbil|street-lamp, reflector
riversi; —o|to reverse; —al
rivesti; —o (|to face, to line;
rivid; —i|review; to —
rivinko; —i|revenge; to take —
rivok; —i|revocation; to revoke
rivolt(o); —i|revolt; to —, to rouse
rivolvo; —a; —ist; —a|revolution; —ary; —ist
rivulso; —ifa|revulsion; —sive
rix; —i|brawl, street quarrel; to quarrel, to scuffle, to brawl
rizervo; —i; —azo; —at|reserve; to —; —ation; —ed
rizipel; —a|erysipelas; —ous
rizo; —a; —otart|rice
rizoto|risotto
rizult; —i|result; to —
rob|dress, gown
robno|tap, cock, faucet
robot|robot
robro|rubber
robusta; —eso|robust; —ness
roci; —o|to bray; —
rod(o); —i|gnawing, corrosion; to gnaw, to corrode
rodal; —i|clipping, tripping; to clip, to trim
rodel; —i|nibbling
rodlo; —i|o
rododendro|rhododendron
rodri; —o; —er|to prowl, to — about; ing
rogo; —a; —e|arrogance; —ant; —antly
roin|queen
rok; —a; —oza|rock; —y
rokal|reef, cliff
roket|rocket
rol; —i|roll, list; to enroll, to enlist
Rom; —a|Rome; —an
Romal|Roman dialect
Romanal|Romance language
romanco; —ero|love-song; romancero
romanso; —a|novel; romantic
romantika; —tismo|romantic; —icism
rombo; —a|lozenge; rhomboid
rompi; —a; —at; —o|to break; broken; rupture, breaking
rompon; —i|rout; to —, to cut in pieces
ron; —a|kidney; renal
ronden|swallow
rondo; —e; —a|round, roundelay, in turn n
ronel|kidney
roneotip; —i|roneotyping; to —type
ronfi; —o|to snore; —, —ing
ronso|bramble
rop; —i; —er|oar, scull; to row, to scull; rower
rosa|reddish-brown, russet, carroty
rosbif, rostbif|roast beef
rosko; —a; roskel; —a|fish-bone n; a;
rosmarin|rosemary
rospo|toad
rost; —i|roast, — meat; to roast
rot; —a|wheel
rotativ|rotary press
rotel|ball (of string)
roten|roll, roller, coil, bolt
rotet|small wheel, caster
rotul; —a|knee-cap, rotula; — a; —
rotur; —a|non-noble condition; commoner, plebeian, non-noble
round|round
rov|back, back side
rov(o); —i|reverse, back side, wrong side; to reverse; to turn upside down
rova; —e|reverse, upside down
rovado|set-back, reverse
rovel; —a|(coat's) lapel, revers
rox; —olyo|peanut; —oil
roxel|peanut
roy; —a; —ado|king; royal; kingdom, realm, kingship
royismo; —ista|royalism; —ist
Royprokurer|Public Prosecutor, Procurator fiscal;
roz(o); —a|rose
rozedo|dew
rozel|(bo
rozon; —a|rose-window, rosace
rozul|rosette, decoration badge
rub; —a; —i|red; to redden
Rubapyel|Redskin
rubarb(o)|(bo
rubel|rouge
rubema|reddish
ruben; —a|ruby
rubeol|rubella
rubi|to redden; to blush
rubit|measles
rubkab|red cabbage
Rubkapucel|Little Red Riding Hood
rubkol, rubgorgo|(bird) robin
Rubkruz; —a|Red Cross
rublo|rouble
ruboco; —a|acne rosacea
rubrik|(newspaper's) heading, item, section
ruca|rough, rude, harsh
ruda; —e; —eso|rude; —ly; —ness; rough, —ly, —ness
rudro; —a|ruin; heap of ruins; in ruins
ruf; —i|call, —ing
rugo; —i; —eso|wrinkle; to —; rugosity
ruin; —i; —ifa|ruin; to —ate; —ous
ruji; —o|to roar; —ing
ruk(o); —i|cooing; to coo
rukti; —o|to eruct; —ation
rul; —azo; —i|rolling
rulad|roulade, trill
ruldo|rolling
rulot|o
rulskal|moving staircase
ruluter|road-user, road-traveller
rum-beryo|bayberry
rum; —a; —i|noise; —y; to make —
rumado; —i|uproar, din, roar; to shout
rumini; —an|to ruminate; ruminant
rumon; —i|uproar; to shout
rumozo; —a|turbulence; —ent
rumumi|to divulge, to bruit about, to blab out
rumyo; —a|rum
runda; —eso; —i|round; —ness; to —
rundaro|circus, roundabout
rundel|small round slice
rundol|roll, —er
rundumi|to turn round in a circle
rupyo|rupee
rur; —a; —ala|field; rural
Rusa; —al; —io|Russian; —
ruspi; —o|to grumble; —ing
rust; —i|rust; to —
rustika; —eso|rustic; —ity
rut-elte|on the roadside
rut; —a; —e|road; of the —; on the —, by —
rut(a)kod|rule of the road
rut(a)map|road-map
ruti|to go along, to be on the road
rutin; —a|routine
rutist|road-racer, traveller by road
ruva|rough, rude, harsh
ruzo; —a|ruse; artful, cunning, shrewd
ruzon; —a|craftiness, wiliness; crafty, cunning
Ryen; —a|Rhine
sa|his, her, one's
Sab; —a, —e|Saturday
sabir; —e; —i|pidgin, jargon; in —; to talk —
sablel|shortbread
sablit; —a|gravel; —elly
sablo; —i|sand; to —
sablobenko|bar (of sand)
sabloco|(of pebble) gravel
sabordi; —o|to scuttle; —ing
sabot; —i|sabotage; to —
sabro; —i|sabre, sword; to sabre; —
sacerdot; —a|priest; —ly, sacerdotal
sadika; —dismo|sadist(ic); —dism
saelte|on his side; on one's side; from — —
safir|sapphire
safran|saffron
saga; —o; —i|wise; wisdom; to behave wisely
sagusta; —e|of his (own) taste
sagvir; —eyo|conciliation board member; conciliation board
sak; —et|bag, sack; small bag
sakajo; —i|plundering
sakarin|saccharin
sakflut|bagpipe
sakra; —i; —at|sacred, holy; to consecrate; —ed
sakrado|consecration
Sakrakor|Sacred Heart
sakrament|sacrament
sakrardor|ardour, inner —
sakraro; —arer; —arin|sacristy; sacristan; sacristine
sakri|to consecrate
sakrif; —i|sacrifice; to —
sakrilego; —a|sacrilege; —ious
sal; —a|salt; —ed
sala, salema|salty
salad; —uyo|salad; — bowl
salaqo|salted water, sea-water
salar(yo)|salary, wages; —
salbo; —i; —a|projection; to project, to stand out; projecting
saldo; —i|remnant, clearance; to sell off
saldos|remnants sale
salgusta|brackish
sali; —inil|to salt; salt-cellar
saliv; —a|saliva; —ary
salko|willow
salkrauto|sauerkraut
salmigon|salmagundi, ragout, hotchpotch
salmon|salmon
salmur|pickling brine
salon|room, drawing-room
salonel|boudoir
saloza|salty, briny
salsico|sausage
salsinil|sauce-boat
salso; —il|sauce; — spoon
saltel; —i|saute; to toss, to fry
salten|sudden change of humour
salteti|to hop, to skip
salto; —i|jump; to —
saltul; —i|ricochet, rebound; to —
salubraeso|salubrious; —ity
salum; —io; —er|pork-meat; drysaltery, pork-butcher's shop; drysalter, pork-butcher
salut; —i|greeting; to greet
salvo- a; —i|safety; safe; to save
salvobelt|life-belt
salvobuo|life-buoy
salvoscaf|lifeboat
salvyo|sage
sam-mode|in the same way
sam; —a|same
sama|j
samane|with, from his own hand
samaspa|looking likewise
sambel|elder-tree
samcentra|concentric
same|likewise
sameleste|the best he can
samelta; —e|of the same side; on the —
samidean; —ealist|co-idealist
samjena|of the same sort (nature)
samklasa|of the same class
samkolora|of the same colour
samkoryere|by the same mail
samlandan|countryman, fellow —
samnasyona|of the same nationality
samode|in his own way
samopini|to be of the same opinion
samorda|of the same order
samoriga|of same origin
sampeza|of the same weight
samplo|sample
sampresye|at the same price
samrasa|of the same race
samriliga; —an|coreligionist a, n
samsanga; —eso|consanguineous; —nity
samsorta|of the same sort
samspeca|of the same nature
samtempa; —e|of the same time; in the — —
samtipa|of the same type
samurba; —an|of the same city; fellow-citizen
samye|in the same place
samyes|the same time
san|health (
san-aspa|looking healthy
sana; —ala|healthy; sanitary
sanaparel|sanitary object, —instrument
sanaro; sanatoryum|sanatorium
sanazo|recovery
sandal|(sho
sandwic|sandwich
sang(o); —a|blood
sangado; —i|blood-letting, bleeding; to bleed
sangema; sangoza|sanguineous, bloody; sanguinary, bloody
sanglot; —i|sob; to —
sangofluo|bloodshed
sangopren|blood-taking
sangtransfuzo|blood-transfusion
sangvasel|blood-vessel
sani|to heal; to recover
sanigo; —i; —a|convalescence; to convalesce; —ent
Sanpatro|the Holy Father, the Pope
Sansakrament|Holy Sacrament
Sansanto|the Holy of Holies
sansasyon; —a|sensation; —al
Sansid; —a|Holy See; of the — —
Sanskribos; —ba|Scriptures, Holy Writ; of the —
Sanskrit; —a Sanskrit, —|ic
sanso; —i|sanction; to —
Sanspirto|Holy Ghost
sansuk|leech
santa|holy
santaro, santuyo|sanctuary
santin|holy woman
santo; —eso|holy man; holiness
santoca|smooth hypocrite
Sanvek|Holy Week
Sanvenso|Good Friday
sap(o); —i|knowledge, learning; to know
sapon; —i|soap; to —
sapor; —a|savour; tasty
sapori; —orayo|to savour, to enjoy; delicacy, dainty, tit-bit, daintiness
saprico!|Gosh!, by Jove!
sar|present of
sarden|sardine
sardona|sardonic
sargo; —ado|coffin; to — (a corpse)
sarkasmo; —a|sarcasm; —astic
sarkli; —o|to hoe, to weed out; weeding
sarkofago|sarcophagus
sarkom|sarcoma
sarment|bine; vine-shoot
sarno; —a|hinge; —ed
sarta; —o; —eso; —i|tender; —ness; to make (to become) tender
sarteli, sartoli|to fondle, to coddle, to pet
sas|one's
sat|been, participle of
sata; —o; —i|sated; satiety, surfeit, repletion; to sate, to satisfy
saten; —a|satin; —y
satir; —a|satire; —ic(al)
satiryo|satyr
satisfo; —a; —i; —at|satisfaction; —factory; to —ify; —ied
satura; —eso|saturated; —ation
saturne|in his turn
savat; —er|shoe; shoemaker
savatist|bootmaker
savole|at one's own free will, spontaneously
se|oneself (
sebo; —a|tallow; fat, sebaceous
secedo|secession
sedisyon|sedition
sedo; —i; —ifa|calm; appeasement, to calm, to appease; sedative
seduk; —i|seduction; to seduce
sef; —a; —i|thirst; —y; to be —y
seglo; —pan|rye; — bread
segment|segment
segnal; —i|signal; to —, to notify
segnaltrupaso; —i|signal-overrunning; to overrun a signal
segnel|badge, mark
segnifa|significant
segno; —i|sign, mark; to mark
segnoza|noteworthy, resounding
sego|pail, bucket
segrego; —i|segregation; to —ate
sek; —a; —i|dry; to —
sekant|secant
seklala|cc
seklo; —a|century; secular, centuries old
seko; —al|dryness; drought
sekonda; —i|second
sekra; —o|secret
sekragent|secret agent
sekrel; —azo; —i|secretion; to secrete
sekrer; —in|secretary
sekreso|secrecy
sekri|to keep secret
sekroyo|writing-desk, secretaire
sekto; —a; —ema|sect
sektor|sector
sekur; —i; —er|insurance; to —ure; assurance, to —ure; —er
sekurbelt|life-belt, safety belt
sekuremo|self-assurance
sekureso|security
sekuril|security device
Sekurpolisyo; —prem|Insurance policy; —premium
seldo; —i|saddle; to —
selekto; —i|selection; to select
selen|selenium
self; —a|self
selfamo|self-respect, pride
selfdefendo|self-defence
selfefat|self-made
selfpleka|self-explanatory
selko|pebble
selts; —aqo|soda; —water
selvaja; —un|wild; a — man
sem; —a|always; everlasting
semafor|semaphore, signal-station
semantik; —a|semantics, —tic
sembla; —o|resembling, alike; resemblance
seme|always, ever, for ever
semel|(shoe's) sole
semen; —i|seed; to sow
semenol|shoot, scion; offspring
semestro; —a|half-year; —ly
semeterna|sempiternal
semicirko; —a|semicircle; — circular
semideo|demi-god, demigod
semifinal; —ist|semi-final; —ist
semifrat|stepbrother
semilana|half-wool
semiligal|quarter-binding
semimal|small harm
semimezur|half-measure
semimondo; —a|demi-monde;
semimonte|half-way up the hill
semimorta|more dead than alive
seminar; —ye; —arist|seminary; at, to the —; —ist
semipensyon; —er|half-board, partial board; —er
semiplas|half-fare
semipresye|at half price
semiprop|joint property
semisor|stepsister
Semita|Semite, Semitic
semitemp; —a; —e|half-time
semivege|half-way a
semivoke|in a subdued voice, in an undertone
semivole|willy-nilly
semivorte|on the uptake;
semol|semolina
semplorer|eternal weeper
semtempe|always, eternally, for ever
sen; —a|without; devoid, unprovided
senabriga|homeless, roofless
senaktiva; —eso|inactive; —ity
senalma|inanimate, lifeless
senarda; —o|sluggish; —ness; nonchalant; —ance
senarma|unarmed
senarta|artless, unskilful
senasta; —e; —o|hasteless; —ly; —ness
senatenso; —a|inattention; —tive
senato; —or|senate; —or
senava|unprovided
senbarma|pitiless
senbaza|baseless
senbildaro|waste ground
senblage|no kidding!; seriously, really
sencerebra, sencervela|hare-brained, madcap
senceremone|informally, unceremoniously
sencese|unceasingly
sendanga|not dangerous, harmless
sendenga|having no money
sendenta|toothless; edentate
sendo; —i|sending
sendola|painless
sendoma|homeless
sendormo|sleeplessness
senduba; —e|unquestionable; no doubt
senduldo; —a|impatience; —ent
sendule|without delay
senecun|lazy-bones
seneduka|uneducated
senefekta; —eso|ineffective; —ness
seneltemo|impartiality
senempla|unemployed, jobless
senendo; —a; —e|infinite
seneqilibro; —a|want of balance; unbalanced
senereda|disinherited
senerfara|inexperienced
senexira; —xado|no exit, no way out
senfale|certainly, without fail
senfleka|stainless, immaculate
Senflekkoncep|Immaculate Conception
senfolgo|no true bill, nonsuit, no ground for prosecution
senfonda|groundless
senfrena|unbridled, unrestrained
senfronta; —o|jaunty, cheeky, impudent; effrontery, barefacedness
senfruta|unfruitful
sengruna; —unda|without reason a
seni|to lack of, to be without...; to be deprived of...
seninterompo|uninterruption
senior|senior
senkamba|unchanged
senkeda; —o|unquiet, restless; restlessness
senkeldube|without any doubt
senkelfale|undoubtedly, absolutely without fail, unfailingly
senkelfonda|without any ground, absolutely groundless
senkolora|colourless
senkondisa|unconditional
senkonfort; —a|uncomfortability; —table
senkonsho; —a|unconsciousness; unconscious
senkonsisto; —a|inconsistency, lack of consistence; lacking in —
senkontredice|unquestionably
senkora|heartless
senkredo; —a|unbelief; —ieving
senkulpo; —a|guiltlessness; guiltless
senlasa; —e|untiring; —ly
senletra|illiterate
senlimita|unlimited
senlukra; —oskop|non-profit; — — aim
senlukroskopsocado|non-profit association
sennuba; —e|cloudless
sennuma|innumerable, numberless
senodora|odourless, inodorous
senokup; —a|unemployment; jobless, unemployed
senonta|shameless, barefaced
senpatria|stateless (person)
senpeka; —e|sinless; —ness; impeccable; —ility
senpekuna|unpecunious, without money
senpenta; —o|impenitent; —ence, unrepentance
senplue|that is all, without further ado
senposo; —a|powerlessness; powerless
senprica|unprecedented
senrevera; —o|irreverent; —ence
senriflekto|thoughtlessness
senrimel|blank verse
senrisolva; —o|irresolute; —ution
senritma; —o; —eso|arrhythmic; —mia; rhythmless
senruma; —e|without noise
sensa|sensible, level-headed
sensado|sensation, impression, feeling
sensala|not salted
sensap; —e|ignorance; unknown to..., without the knowledge of.,
sensegnifa|insignificant, unimportant
sensensa|senseless
senshendala|without issue (children)
sensibla; —eso|sensible; —ibility
senskopa|aimless
senso|sense
sensopla; —o|breathless; —ness; out of breath
senspero; —a|hopelessness; hopeless
sensuala; —eso|sensual; —ity
sent (o); —a|feeling
sentenso|decision, sentence
sentensyo|maxim, apophthegm
senti|to feel
sentim(o); —a|intrepidity; —pid
sentreve|relentlessly, unceasingly
sentrump|no trump
senvala|worthless, of no value
senverko; —a|joblessness; jobless, out-of-work, unemployed
senvika|of no importance
senvika|unimportant, of no importance
senviva|lifeless
senvoka|voiceless
senzorgo; —a|unconcern
seo|being
sep; —a|seven; —th
sepal|sepal
separ; —i|separation; to —ate
sepek|seven hundred
sepis|seventy
sepso; —a|septicity; septic
Septem(bro); —bra; —bre|September; of, in —
septicemio|septicaemia
sepulkro; —a|sepulchre; —al
sepyo; —a|cuttlefish;
seqestro; —er; —i|sequestration; —ator, assignee; to —ester
ser; —a|evening
serado|evening, evening party
seraf; —en|seraph
sere|in the evening
serena; —eso|cloudless, serene; serenity
serenad; —i|serenade; to —
sergent|sergeant
serio|serge, twill
serio; —ia; —ie|series; in —
serki; —azo|to clench, to shake, to squeeze; —ing
serlo|glass-house, greenhouse
serlon|big glass-house, glasshouse culture
sermon; —i; —ist|sermon; to —ize; —izer
serpo|serpent, snake
serso; —a|serosity; serous
serta; —un; —e|some, certain; a certain man; in a certain way
sertmomente|at a certain moment
serum; —a|serum
servi|to preserve, to keep
servo|conservation, preservation
serya; —ye|serious; —ly
sesyon|session
set|set
seuide|sine die
sevadi; —ados|to rage, to act severely; maltreatments, atro cities
sevyo|sap
sex; —a; —eso|sex; —ual; —uality
sexapel|sex-appeal
sexema|sexy
sextant|sextant
sexyon|section
sfer; —a|sphere; —ical
sfido; —i|challenge; to —
sfigmografo|sphygmograph
sfilal; —i|unravelling, fraying
Sfinx; —a|Sphinx
SGG (Sen Governa Garantio)|Without Guarantee of the Government
shaba|shabby
shaf; —a; —in|sheep;
shafol|lamb
shafon|male sheep, ram
shagren; —i|grief, affliction; to grieve, to afflict
shak|every
shakal|jackal
shakanyo; —ye; —ya|every year
shakida; —e|every day's; every day
shakmatin|every morning
shakore|at any time, at any hour, at every hour
shakosyes|every other time
shaksaturne|in turn, by turns, each one in his turn
shakun|everybody
shakvek; —a|every week; —'s
shakye|in every place
shakyes|every time
shal; —i|duty;
shalba|pale, pallid, faint
shalup|launch, sloop
sham; —i|swarm; to —
Shampanyo; —ya|Champagne
shampo; —i|shampoo; to —
shapron; —i|chaperon; to —
sharad|charade
sharpel|scarf, fichu, bandana
sharpo|scarf, stole, sash
shat|due (participle of
shaut; —i|din, rag, uproar; to —
she|at
shed; —i|shed, penthouse, hangar; to garage, to put into a hangar or garage
shef|chef
shel|shell
shema; —ado; —eso|silly; —ness
shen; —a|stage, scene
shenadi; —o; —er|to stage; staging; stage-manager, producer
shenal; —i|scene, fuss; to make a scene, to kick up a fuss
shenda|descending
shendal|descendant
shendibed|bedside-rug
shendo; —i|coming down, descent; to come down, to descend
shenso; —a|science; scientific
sheptika; —ikismo|sceptic(al); —icism
sheptro|sceptre
shevyot|cheviot (fabric)
shi|shall
shiatit; —tik|(m
shik(a)|smart
shiktip|a fine chap, a decent —, a good sort
shild(o)|sign, — board
shindi; —o|to split; —itting, scission
shinshil|chinchilla
shinyon|chignon, bun
ship-candler|ship-chandler
ship; —a; —e; —i|ship
shipel|barge, lighter
shipol|small ferry
shipos—pont|pontoon-bridge
shir|past tense of
shira; —eso|dear, expensive, costly; costliness
shiri; —azo|to raise; rise, raising
shirmo; —i|protection; to —ect; shelter; to —
shishit; —a; —i|fuss, frills; fussy, —ing
shismo; —a|schism; —atic
shist(o); —a|schist, shale; schistous
shok; —i; —ifa|shock; to —; —ing
shol|shawl
shom; —i; —er|unemployment; to abstain from work, to be unemployed; unemployed worker
shop; —on|shop; store
shopado; —i|shopping, errand; to go, to run errands
shor|future of
short|shorts
shugi; —azo|to wipe, to — away, to mop; wiping
shugil; —iman|towel, hand —
shupi; —o; —azo|to waste; —ing
shur|conditional of
si|to be
sibla; —e; —eso|possible, —y. —ility;
sibla!|maybe!
sid|seat, office
sidado; —i|sitting, session; to take place
sidema; —o|sedentary; —iness
sidergi; —at|to stupefy; —ied
siderurgio; —urga|siderurgy; —ic(al)
sidi|to sit, to seat, to — down
sidil; long-|chair; lounge —, chaiselongue
sidoyo|bench, seat
sifilit; —a|syphilis; —litic
siflo; —i; —il|whistling
sifon|siphon
sigar; —et|cigar; —ette
sigaretil|cigarette-holder
sigaretuyo|cigarette-case
siglo|sigla
signi; —o|to sign; signature
siji|to besiege
sijo; —stando|siege; martial law regime
sil; —a; —e|silence; —ent; —ently
silab; —a (silbo; —a)|syllable; —abic
sildi; —o; —azo|to solder, to weld; solder, —ing, weld, —ing
silex|silex
silgo; —i|seal; to —
silgot|sealing wax
sili|to be silent
silicato|silicate
silico; —a|silica; —ceous
Silicoso|.)silicosis
silil|silencer
silk(o); —a; —el|silk; —en; silkworm
silo|silence
silot; —i; —azo|silo; to —, to ensile; ensilage
silur; —i|torpedo; to —
silurior|torpedo-boat
sim; —a; —in|monkey
simbol; —a|symbol; —ic
simboli; —azo|to symbolize, —ation
simetra; —io|symmetrical, —etry
simila; —eso|similar; —ity, likeness
simonyo; —ya|simony; —oniac(al)
simpata; —i; —io|attractive, sympathetic; to —athize; —athy
simpla; —eso; —i|simple; —icity; to —ify; mere, bare
simul; —azo; —i|simulation; to —ate
simultana; —e; —eso|simultaneous; —ly; —ness
sin; —i|ash; to burn to ashes
sinadi; —o; —aro|to incinerate; —ation; crematorium
sinap; —i|sinapism; to make, to put a —
sincera; —e; —eso|sincere; —ly; —erity
sindik; —i; —at; —eyo; —eya|ss
sindrom|syndrome
sinekur|sinecure, soft job
sinel|cineraria
sinfonio; —ona|symphony; —ic
singa|singular
singol|singleton
singula|single, unique
singulara|peculiar, strange, queer
sinil|ash-tray
sinistra; —o|sinister, fatal, ominous; accident, conflagration disaster
sinki|to sink
sinkop|syncope; —
sinkrona; —eso|synchronistic; —onisrn
Sinmirko|Ash-Wednesday
sinod; —a|synod; —al
sinonim; —a|synonym; —imous
sinopsio|synoptic board, synopsis, conspectus
sinov; —it|synovia;
sintax; —a|syntax; —actic(al)
sintezo; —a|synthesis; —etic(al)
sintom; —a|symptom; —atic
sinua; —ado; —eso|sinuous; —osity
sinurno|cinerary urn
sinus|sinus;
Sinyor|Lord
siplo; —i|chisel, graver; to engrave
sir|past tense of s
siringo|syringe
Siro (Sr)|Mister (Mr.), Sir
sirop; —a|syrup; —y
sirvama; —o|willing to help, obliging; willingness (readiness) to help
sirvan|serf, bondman
sirvel|service, set
sirver; —in|servant
sirveyo|attendance, service staff
sirvi|to serve
sirvila; —eso|servile; —ility
sirvin|bondwoman
sirvo|service
Sis (senlukroskop-socado)|non-profit association
sismo; — grafio|seism, earthquake; seismography
sistem; —a; —i|system; —atic; to —atize
sistol|systole
sit; —a|six; —th
sitek|six hundred
sitim|sixth
sitis; —o|sixty; about —, the sixties
sitmes; —a|half-year; —ly
situi; —no|to situate; —ation
sizo; —a|season
skab; —i|setback; to fail, to miss,
skabadi|to bar, to prevent, to hold in check
skabon; —i; —er|chess; to play —; — player
skabro; —a; —oza|risk, hazard; —ous; risky, scabrous
skabyo; —a (|scabies, mange; scabby, mangy
skad(o); —i|date, term, maturity; to fall due
skadro; —on|squadron
skaf|.)hull
skal|stairs, staircase
skalel|ladder
skalico; —i|(
skalop|(
skalpo; —i|scalp; to —
skalyo|scale, range
skambo; —i|exchange; to —
skamot; —azo; —i|juggling; to juggle
skampo; —s|scamp; —s; —i
skandal; —a; —i|scandal; —ous; to —ize
skansi|to scan
skap(o); —i|escape
skapla|dishevelled
skapol; —i|escapade; to make an —
skapon; —i|narrow escape; to have a — —
skapopot|o
skapoveo|way of escape, safety way
skardo|splinter
skarfi; —o; —azo|to scarify; —ification
skarko|(m
skarla|scarlet
skarlatin (|scarlatina, scarlet fever
skarmuco; —i|skirmish; to —
skarpo; —al; —a|slope; steep slope, escarpment; steep
skarsa; —eso|scarce; —ness, —ity
skarto; —i|waste material, cast-off —rubbish, scrap; to discard
skateni; —azo|to break loose; —ing loose
skaut; —a; —in|scout-boy
skav(o); —i|digging, excavation; to dig, to excavate
skec|sketch
skedo; —i; —uyo|file; to —; card-index box, file-box
skeli; —uyo|to hide, to conceal; lurking-place, hiding-place
skelskel|hide-and-seek
skelto; —a|skeleton; —etal
skelun|stowaway
skermo; —i|fencing; to fence
ski; —io; —ii; —ier|ski; to —; —ier
skir; —azo; —i|tear; tearing, rending
skirigorge|at the top of one's voice, screaming
skis(o); —i|sketch, outline; to —
skivi|to shirk, to elude
sklavo; —in; —ado; —eso|slave
skleri; —oso; —osa|to sclerose; sclerosis; —otic
skoconi; —er|to annoy, to bother, to give someone a pain in the neck; a pest, a bore
skodel|bowl, porringer
skol; —ye; —a; —er; —erin|school; at, to —; —
skolyoso|scoliosis
skomunik; —azo; —i (|excommunication; to —ate
skoncerta; —i; —ifa|disconcerted; to —ert; —ing
skonto; —i|discount; to —
skop; —i|aim; to — at
skopri; —o|to discover; —ery
skor|score
skorbut; —a|scorbutus; scurvy, —utic
skorpyon|scorpion
skort(o); —i|escort; to —
skoryo|scoria, slag
skoso; —i|shake, —ing
skosot; —a; —i|bump; —y; to —
Skot; —land; —a|Scotland; Scottish, Scotch
skoyel|squirrel
skrac|scratch
skrib(o); —a; —e; —i|writing
skriber; —ibist|writer
skroful; —a|scrofula; —ous
skrupul; —a; —i|scruple; —pulous; to have —s
skruten; —i; —er|ballot, pole, vote; to —; scrutineer
skruti|to search, to examine closely
skud; —er; —erio|shield; squire; stable
skulti; —o; —er|to sculpture; —; —tor
skum; —a|froth, —y; foam, —y
skuro; —a|darkness; dark
skut; —i|scooter; to go by —
skuza|apologetic
skuzo; —i|excuse; to —; pardon; to —
slalom|slalom
slam|slam
Slava|Slav, Slavonic
Slezyo; —ya|Silesia, —ian
slip|slips
sliping|sleeping-car
slit; —i|sledge; to —
slogan|slogan
smalt; —i|enamel; to —
smart (a)|smart
smeraldo; —a|emerald; — green
smoking|dinner-jacket; (
smoklo; —i; —er|smuggling
snak; —bar|snack; —bar
snap; —i|snapshot; to —, to snap
snela; —eso|nimble; —ness
sniping; —pio|shipping
snob; —a|snob; —bbish
so|one
soa|one's
sob; —i|sob, to —
sobra; —eso|sober; sobriety; fruga-lity
soca|social, associated
socado; —i|association, society; to associate; to form an —tion
socafirmo|(society's) name, trade-name
Socal-sekur|Contributory insurance scheme
socala|social
socalismo; —ist|socialism; —ist
socalpargo|public (social) providence state insurance
socalsekureso|social security
socalud|parlour game
socapart|share
socapart|share
soceyo; —ya|society; social
soci; —azo|to associate; —iation
socio; —ia|society; —'s
soco|associate, —ed
socolog; —io|sociologist; —logy
sod; —aqo|soda; — water
sodena; —e|sudden; —ly
sodyo|sodium
sofa|sofa, sofel
sofismo; —ist; —a|sophism; ist(ical)
sofistiki; —a; —at; —azo|to sophisticate; —ed; —ation
sofri; —o|to suffer; —ing
sofruler|scapegoat, whipping-boy, drudge
sogi; —o; —orio|to saw; —
sogrena|nonsensical
sojorno; —i|stay, sojourn; to —
soklo|pedestal, footing, bed-plate
sokombi; —o|to succumb, to yield; —ing
sokorsaro|first-aid station
sokorso; —i|help; to —; assistance; to assist
sol (a); —eso|alone; solitude, loneliness
solagi; —o|to relieve; relief
solaryum|solarium
solaso; —i|frolics; to frolic; gambols, to gambol
